loan	n.	贷款；借出
currently	adv.	现在；当前；一般
comfortable	adj.	舒服的；轻松的
investor	n.	投资者
profit	n.	利润；赢利；利益
angry	adj.	生气的；愤怒的
crew	n.	全体人员；一群人；全体队员
accident	n.	意外事件；机遇；事故
meal	n.	一餐；膳食；粗粉
hearing	n.	听；听觉；听讯
traffic	n.	交通；通行；运输
muscle	n.	肌肉；臂力
notion	n.	概念；观念；想法
capture	n.	抓取；战利品；捕获之物
prefer	v.	宁可；较喜欢；提出
chest	n.	胸；胸部；衣柜
truly	adv.	真实地；不假
thick	adj.	厚的；粗壮的；浓的
cash	n.	现金
museum	n.	博物馆
beauty	n.	美；美人
emergency	n.	紧急状况；紧急事件；紧急需要
unique	adj.	独一无二的；独特的；稀罕的
internal	adj.	内在的；国内的
ethnic	adj.	人种的；种族的
link	n.	环；连结物；链接
stress	n.	压力；紧迫；强调
content	n.	内容；满足；意义
select	adj.	挑选出来的；极好的
root	n.	根；根本；根源
nose	n.	鼻子；突出部分；嗅觉
declare	v.	宣布；声明；申报
appreciate	v.	赏识；鉴别；为...而感激
actual	adj.	真实的；实际的；现行的
bottle	n.	瓶子；酒瓶
hardly	adv.	刚刚；几乎不；勉强是
setting	n.	环境；背景；布景
launch	n.	下水；汽艇；发射
file	n.	档案；公文箱；文件夹
sick	n.	病人
outcome	n.	结果；出口
ad	n.	广告
defend	v.	防护；辩护；防卫
duty	n.	责任；关税；职务
sheet	n.	床单；张；纸张
ensure	v.	确定；保证；担保
ought	aux.	应该；大概
extremely	adv.	极端地；非常地
catholic	n.	天主教徒
extent	n.	范围；程度；区域
mix	n.	混合物；混乱；糊涂
component	n.	元件；组件；成分
slow	adj.	慢的；缓慢的；迟缓的
contrast	n.	差别；对比；对照物
zone	n.	地带；带；地区
wake	v.	叫醒；激发
airport	n.	飞机场
ourselves	pron.	我们自己
brown	n.	褐色
shirt	n.	衬衫；内衣；汗衫
pilot	n.	飞行员；领航员；航船者
warn	v.	警告；提醒；通知
ultimately	adv.	最后；最终
cat	n.	猫；恶妇
contribution	n.	捐助；捐助之物；贡献
capacity	n.	容量；能力；才能
estate	n.	不动产；阶段；阶层
guide	n.	引导者；导游；指南
circumstance	n.	环境；状况；事件
snow	n.	雪；积雪；下雪
politician	n.	政客；政治家；从事党派政治的人
steal	v.	剽窃；偷偷地做；偷窃
pursue	v.	追赶；追踪；追随
slip	n.	滑；滑行；事故
percentage	n.	百分比；比率；部分
meat	n.	肉；餐；食物
funny	adj.	好笑的；有趣的；滑稽的
soil	n.	土壤；土地；国家
surgery	n.	外科；手术；手术室
correct	adj.	正确的；合适的
due	n.	应得的东西；应付款
blame	n.	过失；责备
estimate	n.	估计；判断
basketball	n.	篮球
criterion	n.	标准；准则；规范
hill	n.	小山；丘陵；小土堆
golf	n.	高尔夫球
investigate	v.	调查；审查
crazy	adj.	发狂的；狂热的
significantly	adv.	值得注目地；意味深长地
chain	n.	链；枷锁；束缚
branch	n.	树枝；支店；支流
combination	n.	组合；合并；联合
frequently	adv.	频繁；经常地
governor	n.	州长；总督；统治者
relief	n.	减轻；解除；救济
user	n.	使用者
dad	n.	爸爸；爹爹
kick	n.	踢；反冲；后座力
ancient	adj.	古代的；古老的；年老的
manner	n.	样子；礼貌；风格
rating	n.	等级；额定功率；责骂
silence	n.	沉默；无声；静寂
golden	adj.	金的；含金的；金色的
motion	n.	移动；手势；动作
gender	n.	性
solve	v.	解决；付给；溶解
fee	n.	费用；小费；封地
landscape	n.	风景；山水；风景画
used	adj.	使用过的；二手的；习惯的
bowl	n.	碗；木球；大酒杯
equal	n.	对手；匹敌；同辈
frame	n.	框；结构；体格
forth	adv.	往前；以后；向外
typical	adj.	典型的；象征性的
except	v.	除；除外
eliminate	v.	除去；排除；剔除
hall	n.	门厅；走廊；会堂
host	n.	主人；旅馆老板；节目主持人
trust	n.	信任；信赖；相信
ocean	n.	海洋；广阔；许多
row	n.	排；行；街道
producer	n.	生产者；制作者；制作人
afford	v.	买得起；足以；给予
meanwhile	n.	其时；其间
regime	n.	政权；当权期间；政体
division	n.	分；分开；除法
fix	v.	使固定；修理；准备
confirm	v.	证实；确定；批准
appeal	n.	恳求；诉请；上诉
mirror	n.	镜子；写真；典范
tooth	n.	牙齿；齿状物；爱好
length	n.	长度；长；期间
smart	adj.	聪明的；漂亮的；刺痛的
rely	v.	信赖；依赖；信任
entirely	adv.	完全；全然；一概
association	n.	协会
complain	v.	抱怨；抗议；控诉
topic	n.	主题；论题；话题
variable	n.	易变的事物；变数；可变物
telephone	n.	电话；电话机
perception	n.	知觉；感觉；领悟力
attract	v.	吸引；诱惑
secret	n.	秘密；机密；秘诀
bedroom	n.	卧室
confidence	n.	信心
debt	n.	债务；罪过
rare	adj.	稀罕的；罕有的；珍奇的
tank	n.	槽；箱；柜
nurse	n.	护士；保姆；奶妈
opposition	n.	反对；敌对；相反
coverage	n.	覆盖的范围；保险总额；新闻报导
aside	n.	小声说的话；旁白
anywhere	adv.	无论何处
bond	n.	捆绑物；结合；债券
pleasure	n.	快乐；愉快；令人高兴的事
master	n.	主人；硕士；大师
era	n.	时代；纪元；时期
requirement	n.	需求；必要条件；要求
fun	n.	乐趣；玩笑；娱乐
wing	n.	翅膀；翼；机翼
expectation	n.	期待；指望；展望
separate	n.	独立件；抽印本
somewhat	n.	某物；几分
pour	n.	流出；倾泻；骤雨
stir	n.	骚动；轰动；搅动
judgment	n.	裁判；宣告；判决书
beer	n.	啤酒
reference	n.	参考；索引；参照
tear	n.	泪滴；眼泪；撕
doubt	n.	怀疑；疑惑
grant	n.	授予；授予物；允许
seriously	adv.	严肃地；认真地；严重地
minister	n.	部长；牧师；公使
totally	adv.	完全地
hero	n.	英雄；超越常人者；男主角
industrial	adj.	工业的；供工业用的；工业高度发展的
cloud	n.	云；阴暗；烟雾
stretch	n.	伸展；张开；连绵
winner	n.	胜利者；优胜者
volume	n.	册；卷；体积
seed	n.	种子；籽；萌芽
surprised	adj.	感到惊讶的
fashion	n.	流行；风尚；时样
pepper	n.	胡椒粉；胡椒；辣椒
busy	adj.	忙碌的；热闹的；没空的
intervention	n.	插入；介入；调停
copy	n.	副本；摹仿；一册
tip	n.	顶；尖端；梢
cheap	adj.	便宜的；不值钱的；可鄙的
aim	n.	目标；瞄准；击中目标的能力
cite	v.	引用；引证；表彰
welfare	n.	福利；安宁；幸福
vegetable	n.	蔬菜；植物；无精打采之人
dish	n.	盘子；碟；菜肴
improvement	n.	进步；改善；利用
beach	n.	海滩
everywhere	adv.	各处；到处
gray	n.	灰色；暗淡
opening	n.	开始；口子；穴
overall	adj.	全部的；全体的；从头至尾的
divide	v.	分开；分配；分裂
initial	n.	字首；首字母
terrible	adj.	可怕的；令人恐惧的；极坏的
oppose	v.	反对；以...对抗；抗争
route	n.	路径；途径；路线
contemporary	n.	同时代的人
multiple	n.	倍数；并联
essential	n.	要素；要点；本质
lake	n.	湖；池；色淀
league	n.	同盟；联盟；盟约
careful	adj.	小心的；谨慎的
criminal	n.	罪犯；犯人；刑事
upper	adj.	上面的；较高的；上级的
rush	n.	匆促；冲进；急流
necessarily	adv.	必然地；必须地；必要地
